job_position,company,location,career_level,qualification,years_of_exp,job_type,job_spec,job_details,salary,posted_date
Environmental Engineer,Dindings Poultry Processing Sdn. Bhd.,Perak,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Engineering, Environmental","1. Work closely with DPP Project team in the implementation of DPP Phase 2 WWTP
i) Define design parameters for the Phase 2 WWTP
ii) Review and critique proposals, plans, or designs related to wastewater treatment systems
iii) Compile all necessary information of the existing plant operation including coordinating IECS report for the Phase 2 design
iv) Coordinate with processing plant operation for any shut down for carrying out any interfacing works during the construction and WWTP equipment installation
v) Ensure compliance of effluent parameters during testing & commissioning
2. Periodically conduct wastewater parameter studies to identify and characterize wastewater at various key discharge points in the processing plant with the objective controlling pollutant at source. Provide workable actions with plant process personnel to curb uncontrolled practice of allowing the pollutant discharging into sewer lines and causing excessive pollutant ended up in WWTP.
3. Gather and analyse wastewater data to ensure full compliance with Department of Environment (DOE) Standard and to identify potential problems and take pre-emptive corrective actions to ensure the WWTP is always in good operating condition.
4. Analyse and implement the most cost- effective approach on sludge treatments or disposal methods.
5. Manage all chemicals and scheduled wastes in the processing plant and WWTP to ensure full compliance with Government Regulations.
6. To set up a lab capable of testing all the key parameters of wastewater.
7. Provide technical direction or supervision to subordinates (engineer, technical personal, operators and lab assistants) on day-to-day operation of WWTP to ensure full compliance to Government Regulations including the following activities:
• Control odor emission from WWTP
• Collect and test samples of sewage, employing analysis standards and testing equipment, to ensure treated water meets DOE standards
• Inspect machinery and maintain surveillance on operating conditions, gauges and meters to ensure continued efficient operations as well as detect malfunctions
• Record and track plant and equipment operational data, including meter and gauge readings, and observe a regular schedule for maintenance and upgrades to prevent system breakdowns
• Maintain and repair plant equipment to by using both hand and tools
• Prepare and submit report in compliance to the requirements of Government Agencies.
Requirements:
• Bachelor of Science in field related to wastewater engineering, environmental, civil, mechanical, chemical engineering or chemistry.

• Preferably a certified competent person by DOE on management of WWTP.
CePIETSO (PCP)
CePIETSO (BP)
CePSWaM
• 3 – 5 years of working experience at WWTP or consultant specializing in WWTP design",,Posted on 1-Jun-21
Senior Backend Developer,KMSTUDIO SDN BHD,Kuala Lumpur,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",4 years,Full-Time,"Computer/Information Technology, IT-Software","Roles & Responsibilities:
Participate in the entire software development lifecycle, focusing on solution design, coding, deployment and debugging.
To brainstorm solutions and design robust, highly scalable applications that can withstand high traffic with minimum down time together with engineers from other countries.
To work closely with product owners, key users, artists and the quality assurance team to ensure deliverables are as per expectation. 
To assist in service migration planning and the design of failover.
Develop ideas for new products, or features by monitoring industry developments and trends.
Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.
Troubleshoot applications, conduct performance testing and optimize services to enhance user experience and minimize resource consumption.
To build reusable code and libraries for future uses.
Requirements:
Minimally 4 years of software engineering experience across the full development lifecycle.
Degree in relevant courses such as Computer Science/Software Engineering.
Thorough understanding of Computer Science fundamentals such as OOP, RESTful architectures, Design Patterns, Data Structures etc. 
Solid understanding of API gateways & API Design.
Solid experience in .NET technologies including .NET Core, Entity Framework, Web API.
Working experience in building web based applications based on microservices architecture in .Net Core & C#.
Strong understanding of Microservice Architecture (MSA) and design patterns to build highly scalable modules.
Proficient with both NoSQL & SQL (preferably Mongo, Redis, MySQL)
Working experience of containerization framework (Docker, Kubernetes) 
Good understanding of authentication frameworks and data communication protocols like webSockets.
Good working knowledge of CI/CD environments or pipelines.
Familiar with cloud technologies (AWS services preferred, such as IAM, EC2, Lambda, AWS RDS, Elasticsearch, AWS CodeBuild etc)
Other skills required: Redis Pub/Sub, Cache & Message Broker.
Collaborative team member with good communication skills in english.
Bonus:
Experience in migrating monolithic applications to microservices architecture.
Good understanding of actor model concepts like akka actor and the usage of kafka stream.
Knowledge or actual experience in CQRS design for huge databases.
Experience in designing game backends or building games in Cocos or UNITY.
Domain knowledge of the game industry from game development to actual game operation.
Experience in any interpreted programming language like Ruby or Python.
Passion in building games.","MYR 6,000 - MYR 8,000",Posted on 2-Jun-21
Full Stack Software Engineer,STRATEQ GROUP (Strateq Sdn Bhd),Selangor,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent.
Required skill(s): Java.
Required language(s): Bahasa Malaysia, English
At least 3 year(s) of working experience in the related field is required for this position.
Preferably Senior Executives specializing in IT/Computer - Software or equivalent.
Proficient in back-end PHP framework, particularly Laravel.
Proficient in any RDMS, particularly MySQL.Highly experienced in SQL & database design.
Able to develop high performance APIs, including design, implementation & their documentations.
Able to write software test e.g., Unit Test, Integration Test.
Familiar in Git operation as version-control tracking tool.
Passionate on writing beautiful clean code.
Familiar with Scrum/Agile development methodologies is advantageous.
Exposure in CLOUD Computing is advantageous.
Full-Time position(s) available.
Job Responsibilities:
Work with Product teams to design, develop, maintain and enhance web-based and mobile-based application platform.
Involve in application development activities such as business requirement study, coding, integration, testing and documentation.
Troubleshoot and resolve issues impacting development.
Participate and contribute to product iteration planning and review activities.
Collaborate closely with Team Leader and Scrum Master on entire process and workflow.
Accountable for sprint and release commitments are completed on time.
Accountable for compliance with quality control processes (Definition of Done, source code control, coding guideline, etc).
Participate in process improvements as required.
Perform Production fixes, as and when required
Perform Project Implementation task e.g. data migration, product integration, customization & etc., as and when required
Any other duties as instructed by the Reporting Officer or HOD","MYR 5,500 - MYR 7,000",Posted on 28-May-21
Full Stack Engineer,Nezda Malaysia,Kuala Lumpur,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",4 years,Full-Time,"Computer/Information Technology, IT-Software","Key Responsibilities
• Develop complex software systems scaling to millions of users with production quality deployment, monitoring, and reliability.
• Develop across the full-stack (backend, mobile, UI/UX, operations)
• Work closely with various business partners including product, design, government relations, business development, strategy and operations to solve high impact problems.
• Writing functional and integration tests.
• Sharp problem-solving skills and ability to resolve ambiguous requirements.
Key Qualifications
• Bachelor’s Degree in Computer Science or related STEM field is preferred.
• 4+ years expertise in one or more object-oriented design methodology and large-scale application development (e.g. Kotlin, Ruby, Python, Go, Java, C++).
• Experience building user interfaces with HTML, CSS, and Javascript.
• Excellent understanding of computer science fundamentals, data structures, and algorithms.
• Excellent communication skills with both technical and non-technical audiences.
For faster process you could send directly your resume here:
john.rufon@nezdaglobal.com",,Posted on 1-Jun-21
Senior Software Development Engineer (.NET),Agensi Pekerjaan Randstad Sdn Bhd - Professional,Kuala Lumpur,Non-Executive,"Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,"Computer/Information Technology, IT-Software","about the company

Your future employer currently in partnership with Randstad Malaysia to hunt for a Senior Software Development Engineer (.NET) to be part of a MNC IT Software Company on a permanent basis. Your soon to be future employer is a great organization that support and encourages career growth and excellence.

responsibilities

Develop complex capacities of the apps, examining requirements & generating technical design documents, hand over plans to other team affiliates, analytical methods & user experience tactics to efficiently meet requirements
Act as main investigator to investigate problems, develop solutions & prepare commendations
Collaborate on planning, development, and testing to meet ""definition of done"" criteria
Design, develop, review, re-factor, and maintain software with quality and performance in mind
Take initiative to identify issues and work collaboratively across teams to resolve problems
Identify and manage risks for schedule and quality with the team and ask for help when needed

requirements

BS. in Computer Science or equivalent in experience
3 or more years of hands on software development experiences in C#or ASP.NET or .NET Core
Great understanding of object oriented programming, data structure & algorithm.
Have the experience in working w/ 1 or more of the following technologies:
.NET Core, Microservices design pattern and MySQL
Great understanding of the software development cycle & AGILE development exercise.
Desire in solving difficult & interest difficulties


If you share the same passion, fun, energetic and would like to work in a progressive and forward thinking environment, kindly send your updated CV to us by applying or give me call for a confidential discussion.

Dylan Long | Randstad | +6017219986 | dylan.long@randstad.com.my","MYR 8,000 - MYR 120,000",Posted 10 hours ago
"Manager, Risk Management (IT & Network Security)",Hong Leong Investment Bank,Kuala Lumpur,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Accounting/Finance, Banking/Financial","Job Responsibilities
Responsible to assist in ensuring information assets and technologies are adequately protected, which includes the following:
Perform compliance monitoring of communication security, data vulnerability, business continuity and IT compliance risk and identify defensive steps including firewalls, security software and data encryption.
Perform IT Risk Assessment for information technology projects to ensure compliance with policies and regulatory requirements.
Conduct annual review of related policies.
Prepare monthly IT risk reports and ad-hoc reports.
Keep up to date on technology risk and security matters.
Assist in carrying out other IT Risk Management duties as assigned by Company's management.
Job Requirements
Possess at least a Bachelor's Degree in Computer Science, Information Technology or any equivalent.
Minimum 3 years of working experiences in related industry such as banking, stockbroker, fund management, or insurance in product control or risk management domain.
Good command in spoken and written in English.
Proficiency in Microsoft Office (Word, Excel and PowerPoint).
Detail-oriented, analytical thinking and problem-solving skills.",,Posted on 18-May-21
Senior Pre-Sales Consultant - Analytics,Ambition Group Malaysia Sdn Bhd,Kuala Lumpur,Non-Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","International organisation
Good working culture
Excellent benefits and career growth plans
Our client is a market-leader with a strong market positions and was started in the early 1960s. As a purpose-motivated company, they aim to create positive social and economic impact with the multi-dimensional culture from different backgrounds and perspectives. Reporting to a Director, this role will be working on outlining the available products and solutions to build a trusted relationship with clients and stakeholder. This role will also be delivering strategic presentations and technical architecture related information. Besides that, you are also required to support partner development and enablement and conduct discovery meeting during the sales cycle. Last but note least, you will be developing sales initiative, product positioning and participate in product, solution and technical training and have a detailed level of product knowledge of core components. To qualify an individual must possess:
A Bachelor's/Masters degree in Information Technology or Computer Science/ Mathematics or relevant studies
More than 5 years' experience in solution pre-sales/ technical sales, business consulting or advisory
Strong knowledge of analytics technics, modelling, risk management, customer analytics or data management
Adequate experience on enterprise solution and project is required
The ability to communicate with different level of stakeholders and comfortable in public speaking
Good verbal and written skills in English
Click the Apply Now button quoting reference number AGP248242.
For similar roles, please visit www.ambition.com.my.
Data provided is for recruitment purposes only.
*LI-ITBusiness Registration Number: 1048918-T. License Number: JTK 2710",,Posted on 31-May-21
"Executive, Internal Audit (IT)",Hong Leong Investment Bank,Kuala Lumpur,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Accounting/Finance, Banking/Financial","Job Responsibilities
Undertake IT audit assignments and/or ad-hoc duties assigned by the Head of Internal Audit / Reporting Manager.
Assist in coordination and execution of IT audit assignments in accordance with the audit plan.      
Conduct IT audit fieldwork which include identifying and defining internal control issues / regulatory deficiencies.
Ensure completeness of audit working papers and supporting documents to support audit findings and conclusions.
Identify IT audit issues and recommend appropriate controls measures to address the root cause.     
Assist in IT audit reporting and obtain responses from the relevant parties.
Perform follow-up review to monitor the implementation of action plans.
Job Requirements
Possess Bachelor Degree in Computer Science, Information Technology or similar fields of study.
Preferable 1 year of working experience in IT security, internal audit, risk management, compliance, or any external audit firms.
Good command in spoken and written in English.
Experience in data analytics / using Computer Aided Auditing Techniques (CAATs) will be an added advantage.
Proficiency in Microsoft Office (Word, Excel and PowerPoint).
Details-oriented, analytical thinking and problem-solving skill.
Fresh graduate is welcomed to apply.","MYR 2,500 - MYR 2,800",Posted on 2-Jun-21
Marketing Associate,Medical Innovation Ventures Sdn. Bhd.,Multiple work locations,Senior Executive,Not Specified,2 years,Full-Time,"Sales/Marketing, Marketing/Business Dev","Job Description
Prepare reports on marketing and sales metrics
Collect and analyse consumer behaviour data (e.g. web traffic and rankings)
Conduct market research and identify new opportunities
Analysis on IVD products to gather information on products in the market
Coordinate with the marketing design and content teams to generate digital and print advertising material (e.g. brochures and newsletters)
Keep organized records of marketing metrics and results of past campaigns
Contribute to collaborative efforts and organize promotional events
Assist with organizing promotional events
Monitor and report competitors' marketing
Sourcing for new technology and products which can add to the revenue of the Company
Arrange principal technical training with Application Specialist team
Conduct internal training for Sales team to aid in marketing the products
Job Requirement
Diploma or Degree in Business Administration, Science or equivalent
Science Background Preferred
Possess own car and valid driving license
Willing to travel locally and outstation (if needed)
Good communication skills in English and Bahasa Malaysia
Strong analytical mind, observant and good communication skills
Mature personality with right attitude, ability to work independently and good interpersonal skills
Based in Penang or Kuala Lumpur",,Posted on 20-May-21
Senior Staff Engineer System Developer,Infineon Technologies (Malaysia) Sdn Bhd,Melaka,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","In your new role you will:
Define & develop product test engineering specific software/visualization applications
Drive user requirement analysis & responsibility for system/solution design, development, testing & deployment in accordance with relevant software framework & standards
Responsible to the update and maintenance of applications including documentation, standardized rollout and harmonized solutions across backend sites
Ensure that systems, processes and methodologies as specified are followed to ensure effectiveness of service delivery
Establish and maintain critical off-office hours standby/support
Support yield management reporting & application

You are best equipped for this task if you have:
Degree/Master in Computer Science, Information Technology, Engineering Discipline or equivalent field
More than 3 system developer experience (software operation or development) in Factory Automation, Process Automation or Manufacturing Execution fields
Experience & familiar with web application development environment & scripting/coding eg. .net, php, c#, JAVA script
Working knowledge of database management (Oracle, SQL) & familiar with data visualization tool eg. Tableau
Experience in Semiconductor Assembly and Test processes & yield management would be a plus
Practical experience in project management and FMEA would be an advantage
Excellent in communication skill & good application knowledge in problem solving",,Posted on 2-Jun-21
Software Engineer,Wiontech Sdn Bhd,Cheras,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","Responsibilities
Designing solutions, implementation, customization, integration and deployment of web application
Troubleshooting, performing bug fixes, optimize performance and support maintenance
Create technical documentation for reference and reporting
Ensure the successful delivery of the various products and solutions within estimated time frames
Keep the system up and running whenever incident raised by clients within SLAs defined
Requirements
Process at least a Bachelor’s Degree in Computer Science / Information Technology
Preferable at least 2-3 years web development and coding experience
Strong knowledge of MVC Framework web application design model
Technical Skills: ASP .net, VB .net, C#, HTML, JS, CSS, AJAX, JQuery, MSSQL, Azure Devops, WebApi
Familiarity with web application to backend services (JSON, REST, SOAP, XML)
Great understanding of database design, data modelling and able to create database that represent and support business processes
Proficient in writing and performance tuning complex T-SQL
Experience in building high-performance, reliable and scalable services
Committed to collaborative problem solving and creating quality products
Candidates must be hardworking, initiative and self-motivated with the ability to work independently in a team environment
Resourcefulness and troubleshooting aptitude
Excellent communication skills",,Posted on 3-Jun-21
Internship - Offshore Marine Service,Bumi Armada Berhad,Kuala Lumpur,Entry Level,Not Specified,,Internship,"Computer/Information Technology, IT-Network/Sys/DB Admin","Summary of Role 
Support OSV fleet daily operational requirement in regards to network infrastructure - ship-shore telecommunication, telecommunication related equipment, IT related equipment for ship-shore interface for reporting purpose on BASSnet including daily data replications, Vessel Tracking System (VTS) & Fuel Management System (eFMS). 
Key Responsibilities 
Support in developing databases such as SQL Express in various IT platforms for ease of reporting, record keeping, monitoring, and tracking in Power BI, eDCS, BASSnet, Galleon, DMR etc.
Support in developing IT platform/programme for OSV Digital Room dashboard, display layout, crew/staff training module.
Support in enhancing, mapping the existing electronic portals with in-house reports such as Ascenz eFMS with an Excel FCMR into Power BI and various portals into in-house dashboard.
Assist to customise electronic Condition Based Maintenance (eCBM) for vendor evaluation, identify and develop scopes and needed hardware and software.
Transfer data & reports from Microsoft Office (Excel and Word) with few levels of interfacing from several electronic portals into digital format to enable automatation of reports.
Review and enhance BASSnet Material Management for database screening, cleaning, and updating.
Support BASSnet upgrading from Version 2.8 to Version 2.10 by conducting compatibility study on IT and communication equipment onboard vessels, review the installation pack, send/install the installation pack, conversion of data and database up to final activation.
Provide technical support with effective solutions to end-users (vessels) and work closely with consultants/vendors for troubleshooting and problem solving any telecommunication & database related matters. 
Education and Experience
Education and Experience
Computer Science/Information technology degree student with knowledge on information technology, information system, programming, networking, database administration, cybersecurity.
At least have an interest in shipping, marine, and oil & gas industries.
Able to be flexible and work analytically in a problem-solving environment
Able to work minimum supervision
A team player
Willingness to learn new things",,Posted on 11-May-21
TECHNICAL SUPPRT - CHINA MARKET | FRESH GRAD | CYBERJAYA,Nezda Malaysia,Cyberjaya,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services, Tech & Helpdesk Support","QUALIFICATIONS:
Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic) or equivalent.
Required language(s): Mandarin
Applicants must be willing to work in Cyberjaya,Selangor.
No work experience required.
10 Full-Time position(s) available.
RESPONSIBILITIES:
Applying strong verbal and written communication skills in the supported language, and solid technical knowledge of supported Microsoft products, to represent Microsoft and communicate with Microsoft customers through telephone, email and web response, carrying out the following activities as needed:
Represent Microsoft and communicate with Microsoft customers
Manage relationships with multiple customers, partners and collaborate with business contacts within Microsoft
Use standard processes, implement existing diagnosis methods, solutions/workarounds to effectively deal with customer and technical issues to achieve problem resolution and customer satisfaction
Document incidents, report customer suggestions and technical issues to Microsoft
Respond to voice of customers, utilize Microsoft escalations and meet response, resolution, efficiency, productivity and utilization targets required by Microsoft business unit
Communicate and collaborate with cross-group peers and Microsoft resources both proactively and reactively in order to identify and leverage the right resources to arrive at solutions to tough and hot problems
Produce quality documentation and share with the appropriate team members and tech lead as appropriate
Compliance with the service operation processes for execution excellence
Adherence to the Microsoft Business Code of Conduct in all customer interactions and interactions with Microsoft, and
Strict adherence to data privacy guidelines – never putting customer PII at risk","MYR 2,800 - MYR 3,500",Posted on 27-May-21
IT Support Officer,Billmount (M) Sdn Bhd,Kuala Lumpur,Junior Executive,Not Specified,1 year,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","Responsibilities:
To Setup and manage problems in several areas for desktop hardware, software, network printer, scanner, IP phones, operating system, server access services, network connectivity and applications.
To manage IT system administration and infrastructure management..
Managing daily, weekly, monthly backup and data loading process for servers.
 To ensure setting up new user computer workstation, user accounts and profiles and dealing with PC password.
 Handling implementation of hardware and software upgrade.
To maintain, configure and troubleshoot issues with LAN, SERVERS, SWITCH, INTERNET and FIREWALL.
To maintain hardware and software inventories list.
To follow-up with problem management and services with the Vendors.
·To support and ensure completion of the task assigned by the Management.
Requirements:
Candidate must possess at least a Certificate, Diploma, Bachelor's Degree, Computer Science/Information Technology or equivalent.
At least 1 year(s) of working experience in the related field is required for this position.
Must be conversant in English and Bahasa Malaysia.
Good interpersonal skill and able to work independently.
Applicants should be a Malaysian citizen.
If you have what it takes to meet our requirements, we would like to talk to you !
Interested candidates are invited to : -
Call in to   : 03-9172 7977
Stating full details of personal particulars, qualification, working experience and current/expected salary",,Posted on 2-Jun-21
Mobile App Developer,HYPERQB SDN. BHD.,Kuala Lumpur,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",2 years,Full-Time,"Computer/Information Technology, IT-Software","HyperQB is seeking new team members to share our passion in building awesome platform solution for customer experience and digital automation. We offer an exciting, fast-paced working environment, a culture of mutual respect and teamwork and opportunities to play a vital role in our growth. Be part of our core development team, join us!

You will play an important role to:
Be a Key member of core app development team
Design and build advanced cross platform applications for Android/iOS platform
Collaboration with Cross-functional teams to define, design and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability and general reliability

To be successful in this role, you will need to have:
Minimum 2 years hands-on experience developing mobile applications
Experience working with remote data via REST and JSON
Experience in React Native or hybrid development tool
Solid Understanding of fill mobile development life cycle
Possess at least Diploma/Degree in Computing/Software Science or equivalent
Working hours will be on Monday-Friday (9am to 6pm)

What we offer:
Good salary range that based on experience
Career development, Skillset improvement
Parking allowance, Travelling allowance,
Annual bonus, Annual increment

How this career will benefit you?
You will pick up business knowledge and technology trend enablement
You will have local and overseas project engagement exposure
You will be able to upskill beyond a technical person to high performance technology consultant


If you have any enquiries, feel free to reach out to us at 012-3843822 / 012-6853189 or apply here.","MYR 3,500 - MYR 6,000",Posted on 1-Jun-21
Technical Support,ASUSTek Computer Malaysia Sdn Bhd,Kuala Lumpur,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services, Tech & Helpdesk Support","Responsibilities:Provide on-site or remove 3rd level support for technical trouble-shooting on ASUS Service Products.
Carry out regular review of product performance / repair / returns data.
Develop training material and deliver courses to Authorized Service Centre, Call Centre agent and Enterprise Customer technical staff.
Close liaison with Authorized Service Partner to ensure consistent understanding of technical issues and communicate the commercial impact to key stakeholder.
Execute ad-hoc strategic initiative as and when required by management.
Requirements:
Candidate must possess at least a Diploma in Engineering (Computer/Telecommunication), Computer Science/Information Technology, Mathematics, Science & Technology or equivalent.
At least two (2) years of working experience in the related field.
Able to work well in a fast-paced environment, excellent problem solving skills and take initiative in leading change to improve customer satisfaction.
Fast learner who is pleasant, patient and self-disciplined.
Good command of spoken and written English.",,Posted on 19-May-21
Senior .NET Software Engineer,ING SOLUTION SDN. BHD.,Penang,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software"," Being part of the software development team involved in analysis, design, functionality, testing and support.
Develop and maintaining web application, web services and window application based on tasks requirement
Good coding standards, organizational programming skills and good commenting practices.
Involve in entire life cycle of development until release.
Work on bug fixing and fine-tuning application performance.
Perform Technical specification writing and documentation
Able to work independently, detail-oriented, and have strong problem-solving skills
 Qualifications:
 Possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Software Engineering or equivalent
 Preferably Senior Executive with at least 3 Year(s) of working experience in the related field
 Applicants should be Malaysian citizens only
Able to speak in Mandarin, read and write in Mandarin and English (to liaise with associates) 
 Required Skills:
C#, .NET Core, ASP.net, MVC, SignalR, Data-Science related technologies
SQL Server, MySQL, MongoDB, Redis
HTML5, JQuery, AJAX, Bootstrap and CSS
Understanding in creation of web services using JSON/REST/XML","MYR 5,000 - MYR 8,000",Posted on 3-Jun-21
IT System Support Executive,Asia File Products Sdn Bhd,Bayan Lepas,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","       Job Description
Provide IT support for company web systems, data and communications, hardware infrastructure and other IT related matters;
Perform installation, configuration, upgrades, troubleshooting on various Windows Operating System;
To carry out scheduled systems and hardware maintenance tasks;
Provide training on basic computer knowledge to users
To maintain and enforce IT Security Standards and policy of the Company
To assist in maintain and administer computer networks and related computing environments including servers, computer hardware, system software, application software and all configurations;
To perform data backups and recovery, migration to new hardware and software;
Participate in various project management in particular in IT related areas
To liaise with vendor on IT related issues;
other IT related tasks as and when required.
         Job Requirements
Candidate must possess at least a Diploma, Degree in Computer Science / IT related discipline; 
Familiar with PC, able to troubleshoot IT related problems and carry out maintenance tasks;
Experience in Microsoft Windows Server and Windows Operating System environment, Active Directory Administration and Exchange will be an added advantages
Able to manage multiple tasks;
Pleasant personality and good interpersonal and communication skill
At least 2 year(s) of working experience in the related field is required for this position.
Applicants must be willing to work in Bayan Lepas.",,Posted on 18-May-21
Web Developer (KL),Xtremax Malaysia,Multiple work locations,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","Job Description

As a Web Developer, you will be introduced to ASP.NET and Java development platforms, and will be actively involved in building highly responsive websites. You will be tasked with complex programming obstacles that test your skills and eventually train you to climb to the top.
Devace values developers with raw instincts in programming and the determination to scale Alpine mountains, not hike small hills. We look for talents who are up for the challenge of meeting our high standards in improving user experience without sacrificing performance and speed.
Do you aspire to stand atop the highest peaks with us? Join us now
Responsibility
Create and develop maintainable software beautifully
Work in teams to analyze and resolve software development problems
Create and simplify technical documentation
Recommend and build future upgrades based on analytical issues
Collaborate with us to finish our cookies, then have fun and spread it around the office
Requirement
Min Bachelor of Informatics, System Information or Computer Science
Have a solid analytical thinking skills
Expertise in C# or Java development
Experienced in Git Workflow
Fresh graduates are welcome to apply
Benefits
Competitive salary
14 Days of annual leave
Various extracurricular activities (sports, music, etc.)
Quarterly company dinner
Opportunity to work in Singapore Headquarter
Young, dynamic and vibrant atmosphere
All around snacks, drinks, coffee, tea and regular culinary day
Located in the center of Kuala Lumpur.
By submitting your resume/CV, you consent and agree to allow the information provided to be used and processed by or on behalf of Xtremax Pte Ltd for purposes related to your registration of interest in current or future employment with us and for the processing of your application for employment. The personal data held by us relating to your application will be kept strictly confidential and in accordance with the PDPA. You may also refer to our Privacy Policy for more details here: https://www.xtremax.com/privacy-policy",,Posted 17 hours ago
Digital Marketing Specialist,Exabytes Network Sdn Bhd,Multiple work locations,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Sales/Marketing, Digital Marketing","Are You a Big Fan of Digital Marketing That Helping Client To Bring Best ROI?
Do you love to see how businesses run their advertisements and discuss about it among your friends?
Join us, a team of online enthusiasts and industry veterans who never forget to incorporate fun and creative ideas into everything we do. With us, you can forget about traditional “Law of Working” because we believe work should be fun, interesting and rewarding.
Besides indoor facilities such as pool tables and a special game room among others, you can expect to be groomed to become the most outstanding specialist in the field you choose to work at Exabytes. Here we take your personal development and career advancement seriously.
Experienced in FB/IG & Google Ads campaign specialists are encouraged to join our rapidly expanding campaign team.
Our ideal candidate is a highly motivated and data driven individual with a minimum 1 – 2 years of Digital Marketing Services.
Responsibilities:
Manage Facebook Ads & Google Ads for Exabytes Malaysia, Exabytes Singapore, Exabytes Indonesia, Easyparcel Malaysia, Easyparcel Singapore and Easywork.
Work closely with respective in-house marketing team to discuss on the ad campaign performance.
Identify growth opportunities and execute strategies in accordance to campaign goals.
Analyse digital ads performance using Google Analytics.
Monitor, assess and react to competitor strategies.
Liaises with web developer to setup conversion tracking / pixel tracking.
Requirements:
Candidate must possess at least a Higher Secondary/STPM/“A” Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor’s Degree, Post Graduate Diploma, Professional Degree, Advertising/Media, Computer Science/Information Technology, Mass Communications, Marketing, Commerce or equivalent.
Required skill(s): Google Ads & Analytics, Google Keywords Planner, Google Data Studio, Google Tag Manager, Facebook Business Manager.
Able to work independently with minimal supervision
Responsible, independent, well-organized and multitasking capability
Possess positive working attitude with passion to learn","MYR 4,000 - MYR 8,000",Posted on 31-May-21
Python Developer- Associate Specialist,Titanfour Business Solutions Sdn Bhd,Cyberjaya,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Computer/Information Technology, IT-Software","Python Developer- Associate Specialist 
Key Responsibility Include:
As a developer, you will be responsible for designing and develop Python/Flutter applications, from layout to function and according to the client’s specifications.
Troubleshoot and resolve issues found in new or existing applications.
Perform testing on the developed applications.
Complete and deliver quality tasks assigned according to the project timeline.
Prepare development-related documentation such as design specification, technical specification and etc.
Travel to local customer sites to provide product support and for project implementation.
Primary Skills:
Concept and knowledge of programming in Python.
Knowledge of SQL programming.
Good problem-solving & analytical skills.
Passionate about learning and exploring new skills and technologies.
Preferred Skills:
Programming experience required in WebAPI development
Possess knowledge of Object-Oriented Programming
Experienced in Django Rest Framework and Flutter will be an added advantage.
Creativity and innovative.
Able to work under minimum supervision & independently.
Good communication skills and good team player.
Data Analysis
Education Requirements:
Candidate should possess a good Bachelor’s Degree, preferably in Software Engineering, Computer Science/IT or equivalent, although other degrees will be considered.
Fresh graduates are encouraged to apply.",,Posted on 2-Jun-21
